Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Death_Count,Crash_Non-Suspected_Serious_Injury_Count,Crash_Not_Injured_Count,Crash_Possible_Injury_Count,Crash_Severity,Crash_Suspected_Serious_Injury_Count,Crash_Total_Injury_Count,Crash_Unknown_Injury_Count,Latitude,Longitude,Street_Name,Street_Number,Driver_Alcohol_Result,Driver_Blood_Alcohol_Content_Test_Result,Driver_Drug_Test_Result,Unit_Death_Count,Unit_Description,Unit_Non-Suspected_Serious_Injury_Count,Unit_Not_Injured_Count,Unit_Possible_Injury_Count,Unit_Suspected_Serious_Injury_Count,Unit_Total_Injury_Count,Unit_Unknown_Injury_Count,Vehicle_Body_Style,Vehicle_Make,Vehicle_Model_Name,Person_Age,Person_Death_Count,Person_Ethnicity,Person_Gender,Person_Injury_Severity,Person_Not_Injured_Count,Person_Possible_Injury_Count,Person_Suspected_Serious_Injury_Count,Person_Total_Injury_Count,Person_Type
20676767,FALSE,2/28/25,0,1,0,0,B - SUSPECTED MINOR INJURY,0,1,0,29.42096277,-98.48046946,IH0037,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,1,0,0,0,1,0,"P4 - PASSENGER CAR, 4-DOOR",ACURA,UNKNOWN (ACURA),20,0,H - HISPANIC,1 - MALE,B - SUSPECTED MINOR INJURY,0,0,0,1,1 - DRIVER
20677071,FALSE,2/28/25,0,0,2,0,N - NOT INJURED,0,0,0,29.48406792,-98.40316427,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,TR - TRUCK,PETERBILT,397 (PETERBILT),69,0,W - WHITE,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677071,FALSE,2/28/25,0,0,2,0,N - NOT INJURED,0,0,0,29.48406792,-98.40316427,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",FORD,EXCURSION (FORD),54,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677073,FALSE,2/28/25,0,0,3,0,N - NOT INJURED,0,0,0,29.44108246,-98.43956393,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,PK - PICKUP,NISSAN,TITAN (NISSAN),71,0,B - BLACK,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677073,FALSE,2/28/25,0,0,3,0,N - NOT INJURED,0,0,0,29.44108246,-98.43956393,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,2,0,0,0,0,SV - SPORT UTILITY VEHICLE,NISSAN,MURANO (NISSAN),53,0,B - BLACK,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677073,FALSE,2/28/25,0,0,3,0,N - NOT INJURED,0,0,0,29.44108246,-98.43956393,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,2,0,0,0,0,SV - SPORT UTILITY VEHICLE,NISSAN,MURANO (NISSAN),53,0,B - BLACK,2 - FEMALE,N - NOT INJURED,1,0,0,0,2 - PASSENGER/OCCUPANT
20677074,FALSE,2/28/25,0,0,1,0,N - NOT INJURED,0,0,1,29.39371581,-98.47759667,IH0037,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",VOLKSWAGEN,JETTA (VOLKSWAGEN),20,0,B - BLACK,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677074,FALSE,2/28/25,0,0,1,0,N - NOT INJURED,0,0,1,29.39371581,-98.47759667,IH0037,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,0,0,0,1,PK - PICKUP,UNKNOWN,UNKNOWN (UNKNOWN),No Data,0,H - HISPANIC,1 - MALE,99 - UNKNOWN,0,0,0,0,1 - DRIVER
20677076,FALSE,2/28/25,0,0,1,0,N - NOT INJURED,0,0,1,29.44285173,-98.43638606,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,0,0,0,1,PK - PICKUP,FORD,F350 (FORD),No Data,0,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,0,0,0,0,1 - DRIVER
20677076,FALSE,2/28/25,0,0,1,0,N - NOT INJURED,0,0,1,29.44285173,-98.43638606,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,VN - VAN,NISSAN,NV200 (NISSAN),53,0,H - HISPANIC,2 - FEMALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677185,TRUE,2/28/25,0,0,2,0,N - NOT INJURED,0,0,0,29.35552597,-98.48123932,SL0013,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",ACURA,TSX (ACURA),62,0,H - HISPANIC,2 - FEMALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677185,TRUE,2/28/25,0,0,2,0,N - NOT INJURED,0,0,0,29.35552597,-98.48123932,SL0013,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",SUBARU,WRX (SUBARU),53,0,W - WHITE,2 - FEMALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677188,FALSE,2/28/25,0,0,2,1,C - POSSIBLE INJURY,0,1,0,29.39354281,-98.4990029,PROBANDT ST,1282,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",DODGE,CHARGER (DODGE),No Data,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677188,FALSE,2/28/25,0,0,2,1,C - POSSIBLE INJURY,0,1,0,29.39354281,-98.4990029,PROBANDT ST,1282,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,1,0,1,0,"P4 - PASSENGER CAR, 4-DOOR",FORD,ESCAPE (FORD),63,0,99 - UNKNOWN,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
20677188,FALSE,2/28/25,0,0,2,1,C - POSSIBLE INJURY,0,1,0,29.39354281,-98.4990029,PROBANDT ST,1282,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,1,0,1,0,"P4 - PASSENGER CAR, 4-DOOR",FORD,ESCAPE (FORD),55,0,H - HISPANIC,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,2 - PASSENGER/OCCUPANT
20677233,TRUE,2/28/25,0,1,1,0,B - SUSPECTED MINOR INJURY,0,1,0,29.42932497,-98.49453231,W MARTIN ST,198,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",TOYOTA,CAMRY (TOYOTA),37,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
