Crash_ID,At_Intersection_Flag,Crash_Date,Crash_Death_Count,Crash_Non-Suspected_Serious_Injury_Count,Crash_Not_Injured_Count,Crash_Possible_Injury_Count,Crash_Severity,Crash_Suspected_Serious_Injury_Count,Crash_Total_Injury_Count,Crash_Unknown_Injury_Count,Latitude,Longitude,Street_Name,Street_Number,Driver_Alcohol_Result,Driver_Blood_Alcohol_Content_Test_Result,Driver_Drug_Test_Result,Unit_Death_Count,Unit_Description,Unit_Non-Suspected_Serious_Injury_Count,Unit_Not_Injured_Count,Unit_Possible_Injury_Count,Unit_Suspected_Serious_Injury_Count,Unit_Total_Injury_Count,Unit_Unknown_Injury_Count,Vehicle_Body_Style,Vehicle_Make,Vehicle_Model_Name,Person_Age,Person_Death_Count,Person_Ethnicity,Person_Gender,Person_Injury_Severity,Person_Not_Injured_Count,Person_Possible_Injury_Count,Person_Suspected_Serious_Injury_Count,Person_Total_Injury_Count,Person_Type
19894843,FALSE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,0,29.43996103,-98.37707074,IH0010,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P2 - PASSENGER CAR, 2-DOOR",HYUNDAI,ACCENT (HYUNDAI),38,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19894843,FALSE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,0,29.43996103,-98.37707074,IH0010,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,PK - PICKUP,CHEVROLET,SILVERADO (CHEVROLET),33,0,W - WHITE,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895075,TRUE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,0,29.57753495,-98.64504227,KYLE SEALE PKWY,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,PK - PICKUP,NISSAN,FRONTIER (NISSAN),31,0,W - WHITE,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895075,TRUE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,0,29.57753495,-98.64504227,KYLE SEALE PKWY,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,PK - PICKUP,PETERBILT,335 (PETERBILT),31,0,W - WHITE,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895182,FALSE,11/30/23,0,0,0,1,C - POSSIBLE INJURY,0,1,1,29.35015952,-98.42648118,IH0037,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,0,0,0,1,SV - SPORT UTILITY VEHICLE,FORD,EXPEDITION (FORD),No Data,0,99 - UNKNOWN,99 - UNKNOWN,99 - UNKNOWN,0,0,0,0,1 - DRIVER
19895182,FALSE,11/30/23,0,0,0,1,C - POSSIBLE INJURY,0,1,1,29.35015952,-98.42648118,IH0037,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,1,0,1,0,"P4 - PASSENGER CAR, 4-DOOR",TOYOTA,PRIUS (TOYOTA),32,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,1 - DRIVER
19895183,FALSE,11/30/23,0,0,1,0,N - NOT INJURED,0,0,0,29.36685789,-98.51927587,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",BMW,328 (BMW),28,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895185,FALSE,11/30/23,0,0,0,3,C - POSSIBLE INJURY,0,3,0,29.37504241,-98.51685375,COMMERCIAL AVE,842,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,2,0,2,0,"P4 - PASSENGER CAR, 4-DOOR",HYUNDAI,ACCENT (HYUNDAI),18,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,1 - DRIVER
19895185,FALSE,11/30/23,0,0,0,3,C - POSSIBLE INJURY,0,3,0,29.37504241,-98.51685375,COMMERCIAL AVE,842,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,2,0,2,0,"P4 - PASSENGER CAR, 4-DOOR",HYUNDAI,ACCENT (HYUNDAI),12,0,H - HISPANIC,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,2 - PASSENGER/OCCUPANT
19895185,FALSE,11/30/23,0,0,0,3,C - POSSIBLE INJURY,0,3,0,29.37504241,-98.51685375,COMMERCIAL AVE,842,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,1,0,1,0,PK - PICKUP,FORD,F150 (FORD),47,0,H - HISPANIC,1 - MALE,C - POSSIBLE INJURY,0,1,0,1,1 - DRIVER
19895186,FALSE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,0,29.38782732,-98.51205554,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,SV - SPORT UTILITY VEHICLE,MITSUBISHI,OUTLANDER (MITSUBISHI),26,0,W - WHITE,2 - FEMALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895186,FALSE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,0,29.38782732,-98.51205554,IH0035,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P2 - PASSENGER CAR, 2-DOOR",CHEVROLET,CAMARO (CHEVROLET),30,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895187,TRUE,11/30/23,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.36561499,-98.61551229,FIVE PALMS DR,6900,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,SV - SPORT UTILITY VEHICLE,GMC,YUKON (GMC),20,0,W - WHITE,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895187,TRUE,11/30/23,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.36561499,-98.61551229,FIVE PALMS DR,6900,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,1,0,1,0,SV - SPORT UTILITY VEHICLE,HONDA,CR-V (HONDA),35,0,W - WHITE,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,1 - DRIVER
19895202,TRUE,11/30/23,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.25391501,-98.54930231,SOUTH GATE,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,1,0,1,0,"P2 - PASSENGER CAR, 2-DOOR",FORD,MUSTANG (FORD),21,0,H - HISPANIC,2 - FEMALE,C - POSSIBLE INJURY,0,1,0,1,1 - DRIVER
19895202,TRUE,11/30/23,0,0,1,1,C - POSSIBLE INJURY,0,1,0,29.25391501,-98.54930231,SOUTH GATE,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,SV - SPORT UTILITY VEHICLE,CHEVROLET,C1500 SUBURBAN (CHEVROLET),45,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895236,FALSE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,1,29.39676699,-98.5687243,SW 36TH ST,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,0,0,0,0,1,"P4 - PASSENGER CAR, 4-DOOR",TOYOTA,CAMRY (TOYOTA),No Data,0,W - WHITE,2 - FEMALE,99 - UNKNOWN,0,0,0,0,1 - DRIVER
19895236,FALSE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,1,29.39676699,-98.5687243,SW 36TH ST,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,SV - SPORT UTILITY VEHICLE,CHEVROLET,TRAX (CHEVROLET),75,0,H - HISPANIC,2 - FEMALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895236,FALSE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,1,29.39676699,-98.5687243,SW 36TH ST,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,SV - SPORT UTILITY VEHICLE,HONDA,PILOT (HONDA),38,0,H - HISPANIC,2 - FEMALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895243,FALSE,11/30/23,0,0,1,0,N - NOT INJURED,0,0,0,29.38518006,-98.48333177,WHITING AVE,421,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,TR - TRUCK,FREIGHTLINER,M2 (FREIGHTLINER),54,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895261,FALSE,11/30/23,0,0,1,0,N - NOT INJURED,0,0,0,29.51600439,-98.4152037,IH0410,NO DATA,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",CHEVROLET,EQUINOX (CHEVROLET),28,0,H - HISPANIC,1 - MALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
19895262,FALSE,11/30/23,0,0,2,0,N - NOT INJURED,0,0,0,29.47918682,-98.36004025,N FOSTER RD,5749,No Data,No Data,97 - NOT APPLICABLE,0,1 - MOTOR VEHICLE,0,1,0,0,0,0,"P4 - PASSENGER CAR, 4-DOOR",DODGE,CHARGER (DODGE),26,0,B - BLACK,2 - FEMALE,N - NOT INJURED,1,0,0,0,1 - DRIVER
